key,present_both,identical
XJTU-SY|Bearing1_5|decimate|10,True,True
XJTU-SY|Bearing1_5|decimate|2,True,True
XJTU-SY|Bearing1_5|decimate|20,True,True
XJTU-SY|Bearing1_5|decimate|5,True,True
XJTU-SY|Bearing2_1|aggregate|1,True,True
XJTU-SY|Bearing2_1|aggregate|10,True,True
XJTU-SY|Bearing2_1|aggregate|2,True,True
XJTU-SY|Bearing2_1|aggregate|20,True,True
XJTU-SY|Bearing2_1|aggregate|5,True,True
XJTU-SY|Bearing2_1|decimate|10,True,True
XJTU-SY|Bearing2_1|decimate|2,True,True
XJTU-SY|Bearing2_1|decimate|20,True,True
XJTU-SY|Bearing2_1|decimate|5,True,True
XJTU-SY|Bearing2_2|aggregate|1,True,True
XJTU-SY|Bearing2_2|aggregate|10,True,True
XJTU-SY|Bearing2_2|aggregate|2,True,True
XJTU-SY|Bearing2_2|aggregate|20,True,True
XJTU-SY|Bearing2_2|aggregate|5,True,True
XJTU-SY|Bearing2_2|decimate|10,True,True
XJTU-SY|Bearing2_2|decimate|2,True,True
XJTU-SY|Bearing2_2|decimate|20,True,True
XJTU-SY|Bearing2_2|decimate|5,True,True
XJTU-SY|Bearing2_3|aggregate|1,True,True
XJTU-SY|Bearing2_3|aggregate|10,True,True
XJTU-SY|Bearing2_3|aggregate|2,True,True
XJTU-SY|Bearing2_3|aggregate|20,True,True
XJTU-SY|Bearing2_3|aggregate|5,True,True
XJTU-SY|Bearing2_3|decimate|10,True,True
XJTU-SY|Bearing2_3|decimate|2,True,True
XJTU-SY|Bearing2_3|decimate|20,True,True
XJTU-SY|Bearing2_3|decimate|5,True,True
XJTU-SY|Bearing2_4|aggregate|1,True,True
XJTU-SY|Bearing2_4|aggregate|10,True,True
XJTU-SY|Bearing2_4|aggregate|2,True,True
XJTU-SY|Bearing2_4|aggregate|20,True,True
XJTU-SY|Bearing2_4|aggregate|5,True,True
XJTU-SY|Bearing2_4|decimate|10,True,True
XJTU-SY|Bearing2_4|decimate|2,True,True
XJTU-SY|Bearing2_4|decimate|20,True,True
XJTU-SY|Bearing2_4|decimate|5,True,True
XJTU-SY|Bearing2_5|aggregate|1,True,True
XJTU-SY|Bearing2_5|aggregate|10,True,True
XJTU-SY|Bearing2_5|aggregate|2,True,True
XJTU-SY|Bearing2_5|aggregate|20,True,True
XJTU-SY|Bearing2_5|aggregate|5,True,True
XJTU-SY|Bearing2_5|decimate|10,True,True
XJTU-SY|Bearing2_5|decimate|2,True,True
XJTU-SY|Bearing2_5|decimate|20,True,True
XJTU-SY|Bearing2_5|decimate|5,True,True
